標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
模,6A21,27169,E0102,22040,uni6A21uE0102-JP,uni6A21-TW,Hanyo-Denshi,IVS,
樣,6A23,27171,E0102,22044,uni6A23uE0102-JP,uni6A24-CN,Hanyo-Denshi,IVS,
樱,6A31,27185,/,22062,uni6A31-CN,uni6A31-CN,/,All,
樺,6A3A,27194,E0102,22077,uni6A3AuE0102-JP,uni6A3A-TW,Hanyo-Denshi,IVS,
橡,6A61,27233,E0102,22150,uni6A61uE0102-JP,uni6A61-CN,Hanyo-Denshi,IVS,
檀,6A80,27264,E0102,22196,uni6A80uE0102-JP,uni6A80-CN,Hanyo-Denshi,IVS,
檛,6A9B,27291,E0102,22247,uni6A9BuE0102-JP,uni6A9B-CN,Hanyo-Denshi,IVS,
檜,6A9C,27292,E0103,22250,uni6A9CuE0103-JP,uni6A9C-CN,Hanyo-Denshi,IVS,
檜,6A9C,27292,E0105,22251,uni6A9CuE0105-JP,uni6A9C-HK,Hanyo-Denshi,IVS,
檠,6AA0,27296,E0102,22259,uni6AA0uE0102-JP,uni6AA0-TW,Hanyo-Denshi,IVS,
檢,6AA2,27298,E0102,22264,uni6AA2uE0102-JP,uni6AA2-CN,Hanyo-Denshi,IVS,
檬,6AAC,27308,E0102,22281,uni6AACuE0102-JP,uni6AAC-CN,Hanyo-Denshi,IVS,
檬,6AAC,27308,E0103,22282,uni6AACuE0103-JP,uni6AAC-TW,Hanyo-Denshi,IVS,
櫂,6AC2,27330,E01EA,22321,uni6AC2-M,uni6AC2-CN,PUA,"M,CM",
櫂,6AC2,27330,E0102,22322,uni6AC2uE0102-JP,uni6AC2-TW,Hanyo-Denshi,IVS,
檴,6AB4,27316,E0102,22295,uni6AB4uE0102-JP,uni6AB4-CN,Hanyo-Denshi,IVS,
檸,6AB8,27320,E0102,22303,uni6AB8uE0102-JP,uni6AB8-CN,Hanyo-Denshi,IVS,
櫛,6ADB,27355,E0106,22363,uni6ADBuE0106-JP,uni6ADB-CN,Hanyo-Denshi,IVS,
櫥,6AE5,27365,/,22383,uni6AE5-CL,uni6AE5-CN,/,All,
櫸,6AF8,27384,E01EA,22418,uni6AF8-CL,uni6AF8-CN,PUA,All,
權,6B0A,27402,E0102,22454,uni6B0AuE0102-JP,uni6B0A-CN,Hanyo-Denshi,IVS,
權,6B0A,27402,E0103,22455,uni6B0AuE0103-JP,uni6B0A-TW,Hanyo-Denshi,IVS,
欎,6B0E,27406,/,22460,uni6B0E-CM,uni6B0E-CN,/,All,
欢,6B22,27426,/,22498,uni6B23-CN,uni6B22-CN,/,All,
歇,6B47,27463,E0102,22562,uni6B47uE0102-JP,uni6B47-CN,Hanyo-Denshi,IVS,
歉,6B49,27465,E0102,22568,uni6B49-M,uni6B49-CN,Hanyo-Denshi,"M,CM",
歐,6B50,27472,E0102,22582,uni6B50uE0102-JP,uni6B50-CN,Hanyo-Denshi,IVS,
歔,6B54,27476,E0102,22591,uni6B54uE0102-JP,uni6B54-CN,Hanyo-Denshi,IVS,
歙,6B59,27481,E0102,22601,uni6B59-M,uni6B59-CN,Hanyo-Denshi,M,
歜,6B5C,27484,/,22606,uni6B5C-CL,uni6B5C-CN,/,All,
歡,6B61,27489,E0102,22617,uni6B61uE0102-JP,uni6B61-CN,Hanyo-Denshi,IVS,
歡,6B61,27489,E0103,22618,uni6B61uE0103-JP,uni6B61-TW,Hanyo-Denshi,IVS,
止,6B62,27490,E0102,22622,uni6B62uE0102-JP,uni6B64-TW,Hanyo-Denshi,IVS,
歯,6B6F,27503,E0102,22639,uni6B6FuE0102-JP,uni6B6F-CN,Hanyo-Denshi,IVS,
歲,6B72,27506,E0101,22645,uni6B72uE0101-JP,uni6B72-CN,Hanyo-Denshi,All,
歼,6B7C,27516,/,22663,uni6B7C-CN,uni6B7C-CN,/,All,
殇,6B87,27527,/,22687,uni6B87-CN,uni6B87-CN,/,All,
残,6B8B,27531,E01EA,22695,uni6B8B-CN,uni6B8B-CN,PUA,M,
殍,6B8D,27533,E0102,22699,uni6B8DuE0102-JP,uni6B8D-CN,Hanyo-Denshi,M,
殳,6BB3,27571,E0102,22780,uni6BB3uE0102-JP,uni6BB3-CN,Hanyo-Denshi,IVS,
殸,6BB8,27576,E0102,22790,uni6BB8uE0102-JP,uni6BB8-CN,Hanyo-Denshi,IVS,
殼,6BBC,27580,E0102,22799,uni6BBCuE0102-JP,uni6BBC-CN,Moji-Joho,IVS,
殾,6BBE,27582,E01EA,22804,uni6BBE-M,uni6BBE-CN,PUA,M,
毆,6BC6,27590,E0102,22819,uni6BC6uE0102-JP,uni6BC6-CN,Hanyo-Denshi,IVS,
毋,6BCB,27595,E0102,22831,uni6BCBuE0102-JP,uni6BCB-CN,Hanyo-Denshi,IVS,
毋,6BCB,27595,E01EA,22836,uni6BCB-V-CL,uni6BCD-CN,PUA,IVS,
毓,6BD3,27603,E0102,22848,uni6BD3uE0102-JP,uni6BD3-CN,Hanyo-Denshi,IVS,
毓,6BD3,27603,E0103,22849,uni6BD3uE0103-JP,uni6BD3-TW,Hanyo-Denshi,IVS,
毕,6BD5,27605,/,22853,uni6BD5-CN,uni6BD5-CN,/,All,
毙,6BD9,27609,/,22863,uni6BD9-CN,uni6BD9-CN,/,All,
毽,6BFD,27645,/,22915,uni6BFD-CL,uni6BFD-CN,/,All,
氐,6C10,27664,E0102,22950,uni6C10uE0102-JP,uni6C10-CN,Hanyo-Denshi,IVS,
氓,6C13,27667,E0104,22958,uni6C13uE0104-JP,uni6C13-CN,Hanyo-Denshi,IVS,
氖,6C16,27670,/,22962,uni6C16-CL,uni6C16-CN,/,All,
氡,6C21,27681,E01EA,22979,uni6C21-CL,uni6C21-TW,PUA,"CL,CM",
氢,6C22,27682,E01EA,22983,uni6C22-CM,uni6C23-TW,PUA,"CL,CM",
氦,6C26,27686,E01EA,22987,uni6C26-CL,uni6C26-CN,PUA,All,
氯,6C2F,27695,E01EB,23002,uni6C2F-CM,uni6C2F-CN,PUA,CM,
氯,6C2F,27695,E01EA,23003,uni6C2F-CL,uni6C2F-TW,PUA,"CL,M",
氰,6C30,27696,E01EA,23005,uni6C30-CL,uni6C30-TW,PUA,CL,
求,6C42,27714,E0102,23027,uni6C42uE0102-JP,uni6C42-CN,Hanyo-Denshi,IVS,
汇,6C47,27719,E0101,23035,uni6C47-CN,uni6C47-CN,Hanyo-Denshi,All,
汛,6C5B,27739,E0102,23067,uni6C5BuE0102-JP,uni6C5B-CN,Hanyo-Denshi,All,
污,6C61,27745,/,23076,uni6C61-CL,uni6C61-CN,/,All,
汴,6C74,27764,E0101,23104,uni6C74uE0101-JP,uni6C74-CN,Hanyo-Denshi,IVS,
没,6CA1,27809,E0102,23174,uni6CA1uE0102-JP,uni6CA1-CN,Hanyo-Denshi,IVS,
沦,6CA6,27814,/,23180,uni6CA6-CN,uni6CA6-CN,/,All,
沧,6CA7,27815,/,23181,uni6CA7-CN,uni6CA7-CN,/,All,
沿,6CBF,27839,E0104,23215,uni6CBFuE0104-JP,uni6CBF-CN,Hanyo-Denshi,IVS,
泞,6CDE,27870,/,23265,uni6CDE-CN,uni6CDE-CN,/,All,
泰,6CF0,27888,E0102,23295,uni6CF0uE0102-JP,uni6CF0-CN,Hanyo-Denshi,IVS,
洯,6D2F,27951,E0102,23379,uni6D2FuE0102-JP,uni6D2F-CN,Hanyo-Denshi,M,
洿,6D3F,27967,E0102,23407,uni6D3FuE0102-JP,uni6D3F-CN,Hanyo-Denshi,IVS,
流,6D41,27969,E0102,23410,uni6D41uE0102-JP,uni6D41-CN,Hanyo-Denshi,IVS,
浆,6D46,27974,/,23417,uni6D46-CN,uni6D46-CN,/,All,
济,6D4E,27982,/,23425,uni6D4E-CN,uni6D4E-CN,/,All,
浏,6D4F,27983,/,23426,uni6D4F-CM,uni6D4F-CN,/,All,
浓,6D53,27987,/,23430,uni6D53-CN,uni6D53-CN,/,All,
涎,6D8E,28046,E0102,23521,uni6D8EuE0102-JP,uni6D8E-CN,Hanyo-Denshi,IVS,
涤,6DA4,28068,/,23554,uni6DA4-CN,uni6DA4-CN,/,All,
涨,6DA8,28072,/,23558,uni6DA8-CN,uni6DA8-CN,/,All,
涵,6DB5,28085,E0102,23580,uni6DB5uE0102-JP,uni6DB5-CN,Hanyo-Denshi,IVS,
涿,6DBF,28095,E0102,23597,uni6DBFuE0102-JP,uni6DBF-CN,Hanyo-Denshi,IVS,
涿,6DBF,28095,E0103,23598,uni6DBFuE0103-JP,uni6DBF-TW,Hanyo-Denshi,IVS,
淔,6DD4,28116,/,23636,uni6DD4-CL,uni6DD4-CN,/,All,
淚,6DDA,28122,E01EA,23651,uni6DDA-CM,uni6DDA-TW,PUA,CM,
淞,6DDE,28126,E0102,23657,uni6DDEuE0102-JP,uni6DDE-CN,Hanyo-Denshi,IVS,
淨,6DE8,28136,E0102,23675,uni6DE8-M,uni6DE8-CN,Hanyo-Denshi,M,
淳,6DF3,28147,E0102,23703,uni6DF3uE0102-JP,uni6DF3-CN,Hanyo-Denshi,IVS,
淵,6DF5,28149,E0102,23706,uni6DF5uE0102-JP,uni6DF5-HK,Hanyo-Denshi,IVS,
淵,6DF5,28149,E0103,23709,uni6DF5uE0103-JP,uni6DF7-CN,Hanyo-Denshi,IVS,
淵,6DF5,28149,E0104,23710,uni6DF5uE0104-JP,uni6DF7-TW,Hanyo-Denshi,IVS,
淹,6DF9,28153,E0102,23713,uni6DF9uE0102-JP,uni6DF9-TW,Hanyo-Denshi,IVS,
渝,6E1D,28189,E0102,23762,uni6E1D-M,uni6E1D-CN,Hanyo-Denshi,M,
渝,6E1D,28189,E01EA,23763,uni6E1D-CM,uni6E1D-TW,PUA,CM,
港,6E2F,28207,E0104,23792,uni6E2FuE0104-JP,uni6E2D-TW,Hanyo-Denshi,IVS,
渲,6E32,28210,E0102,23799,uni6E32uE0102-JP,uni6E32-CN,Hanyo-Denshi,IVS,
湊,6E4A,28234,E01EA,23842,uni6E4A-V-CL,uni6E4A-CN,PUA,IVS,
湛,6E5B,28251,E0102,23873,uni6E5BuE0102-JP,uni6E5B-CN,Hanyo-Denshi,IVS,
溅,6E85,28293,E01EA,23940,uni6E85-CL-CN,uni6E89-TW,PUA,"CL,CM",
溏,6E8F,28303,E0102,23949,uni6E8FuE0102-JP,uni6E8F-CN,Hanyo-Denshi,IVS,
源,6E90,28304,E0102,23951,uni6E90uE0102-JP,uni6E90-CN,Hanyo-Denshi,IVS,
溪,6EAA,28330,E0102,23996,uni6EAA-CM,uni6EAA-CN,Hanyo-Denshi,"M,CM",
溲,6EB2,28338,E0102,24012,uni6EB2uE0102-JP,uni6EB2-CN,Hanyo-Denshi,IVS,
溲,6EB2,28338,E0103,24013,uni6EB2uE0103-JP,uni6EB2-TW,Hanyo-Denshi,IVS,
滂,6EC2,28354,E0102,24046,uni6EC2uE0102-JP,uni6EC2-CN,Hanyo-Denshi,IVS,
滇,6EC7,28359,E0102,24058,uni6EC7-M,uni6EC7-CN,Hanyo-Denshi,"M,CM",
滋,6ECB,28363,E0106,24066,uni6ECBuE0106,uni6ECB-CN,Hanyo-Denshi,IVS,
滔,6ED4,28372,E0102,24087,uni6ED4-M,uni6ED4-CN,Hanyo-Denshi,"M,CM",
滕,6ED5,28373,E0104,24089,uni6ED5uE0104-JP,uni6ED5-CN,Hanyo-Denshi,M,
滥,6EE5,28389,/,24114,uni6EE5-CN,uni6EE5-CN,/,All,
滨,6EE8,28392,/,24118,uni6EE8-CN,uni6EE8-CN,/,All,
滩,6EE9,28393,/,24119,uni6EE9-CN,uni6EE9-CN,/,All,
滴,6EF4,28404,E0102,24142,uni6EF4uE0102-JP,uni6EF4-CN,Hanyo-Denshi,IVS,
滿,6EFF,28415,E0103,24166,uni6EFFuE0103-JP,uni6EFF-CN,Hanyo-Denshi,IVS,
漑,6F11,28433,E0107,24197,uni6F11uE0107-JP,uni6F11-CN,Hanyo-Denshi,IVS,
漒,6F12,28434,E01EA,24198,uni6F12-CL,uni6F12-CN,PUA,"CL,CM",
漒,6F12,28434,E01EB,24199,uni6F12-V-CL,uni6F12-TW,PUA,M,
漓,6F13,28435,E0102,24201,uni6F13uE0102-JP,uni6F13-CN,Hanyo-Denshi,IVS,
漖,6F16,28438,E01EA,24208,uni6F16-M,uni6F16-CN,PUA,M,
漠,6F20,28448,E0102,24225,uni6F20uE0102-JP,uni6F20-TW,Hanyo-Denshi,IVS,
漳,6F33,28467,E0102,24261,uni6F33uE0102-JP,uni6F33-CN,Hanyo-Denshi,IVS,
漿,6F3F,28479,E01EA,24282,uni6F3F-CM,uni6F3F-TW,PUA,CM,
潢,6F62,28514,E0102,24348,uni6F62uE0102-JP,uni6F62-TW,Hanyo-Denshi,IVS,
潭,6F6D,28525,E0102,24342,uni6F6DuE0102-JP,uni6F60-TW,Hanyo-Denshi,IVS,
潸,6F78,28536,E0102,24378,uni6F78-M,uni6F78-TW,Hanyo-Denshi,M,
潼,6F7C,28540,E0102,24384,uni6F7CuE0102-JP,uni6F7C-CN,Hanyo-Denshi,IVS,
澀,6F80,28544,E0102,24392,uni6F80uE0102-JP,uni6F80-TW,Hanyo-Denshi,IVS,
澠,6FA0,28576,E0102,24449,uni6FA0uE0102-JP,uni6FA0-CN,Hanyo-Denshi,IVS,
澠,6FA0,28576,E01EA,24450,uni6FA0-CL,uni6FA0-TW,PUA,All,
澴,6FB4,28596,/,24488,uni6FB4-CL,uni6FB4-CN,/,All,
澾,6FBE,28606,E0102,24509,uni6FBEuE0102-JP,uni6FBE-CN,Hanyo-Denshi,IVS,
濂,6FC2,28610,E0102,24517,uni6FC2-M,uni6FC2-CN,Hanyo-Denshi,"M,CM",
濒,6FD2,28626,/,24543,uni6FD2-CN,uni6FD2-CN,/,All,
濘,6FD8,28632,E0102,24551,uni6FD8uE0102-JP,uni6FD8-CN,Hanyo-Denshi,IVS,
濛,6FDB,28635,E0102,24557,uni6FDBuE0102-JP,uni6FDB-CN,Hanyo-Denshi,IVS,
濛,6FDB,28635,E0103,24558,uni6FDBuE0103-JP,uni6FDB-TW,Hanyo-Denshi,IVS,
濠,6FE0,28640,E0102,24566,uni6FE0uE0102-JP,uni6FE0-CN,Hanyo-Denshi,IVS,
濩,6FE9,28649,E0102,24581,uni6FE9uE0102-JP,uni6FE9-CN,Hanyo-Denshi,IVS,
濯,6FEF,28655,E01EA,24593,uni6FEF-M,uni6FEF-CN,PUA,"M,CM",
濵,6FF5,28661,E0102,24605,uni6FF5uE0102-JP,uni6FF5-CN,Hanyo-Denshi,IVS,
瀚,701A,28698,E0102,24676,uni701A-M,uni701A-CN,Hanyo-Denshi,"M,CM",
瀛,701B,28699,E0106,24681,uni701BuE0106-JP,uni701B-TW,Hanyo-Denshi,IVS,
瀛,701B,28699,E01EA,24682,uni701B-CL,uni701B-HK,PUA,"CL,CM",
瀾,703E,28734,E0102,24750,uni703EuE0102-JP,uni703E-CN,Hanyo-Denshi,IVS,
灌,704C,28748,E0102,24777,uni704CuE0102-JP,uni704C-CN,Hanyo-Denshi,IVS,
灘,7058,28760,E0104,24802,uni7058uE0104-JP,uni7058-CN,Hanyo-Denshi,IVS,
災,707D,28797,E0102,24869,uni707DuE0102-JP,uni707D-TW,Hanyo-Denshi,IVS,
灿,707F,28799,/,24873,uni707F-CN,uni707F-CN,/,All,
炉,7089,28809,E0102,24896,uni7089-CL,uni7089-CN,Hanyo-Denshi,"CL,M",
炬,70AC,28844,E0102,24966,uni70AC-CL,uni70AC-TW,Hanyo-Denshi,CL,
炮,70AE,28846,E0102,24971,uni70AEuE0102-JP,uni70AE-TW,Hanyo-Denshi,IVS,
炷,70B7,28855,E0102,24989,uni70B7-CL,uni70B7-TW,Hanyo-Denshi,"M,CM",
烤,70E4,28900,E0102,25069,uni70E4uE0102-JP,uni70E4-CN,Hanyo-Denshi,IVS,
烩,70E9,28905,/,25075,uni70E9-CM,uni70E9-CN,/,All,
煁,7141,28993,E0102,25239,uni7141uE0102-JP,uni7141-CN,Moji-Joho,IVS,
煑,7151,29009,E01EA,25270,uni7151-M,uni7151-CN,PUA,M,
煲,7172,29042,/,25338,uni7172-CL,uni7172-CN,/,All,
煽,717D,29053,E01EA,25361,uni717D-M,uni717D-TW,PUA,M,
熖,7196,29078,E01EA,25410,uni7196-M,uni7196-CN,Hanyo-Denshi,M,
熖,7196,29078,E0102,25411,uni7196uE0102-JP,uni7196-HK,Hanyo-Denshi,IVS,
熙,7199,29081,E0102,25417,uni7199uE0102-JP,uni7199-HK,Hanyo-Denshi,IVS,
熾,71BE,29118,E0102,25500,uni71BEuE0102-JP,uni71BE-CN,Hanyo-Denshi,IVS,
燂,71C2,29122,E0100,25512,uni71C2uE0100-JP,uni71C2-TW,Hanyo-Denshi,IVS,
燧,71E7,29159,E0102,25595,uni71E7uE0102-JP,uni71E7-CN,Hanyo-Denshi,IVS,
燧,71E7,29159,E01EA,25596,uni71E7-M,uni71E7-TW,PUA,"M,CM",
燿,71FF,29183,E01EA,25642,uni71FF-M,uni71FF-CN,PUA,M,
爛,721B,29211,E0102,25704,uni721BuE0102-JP,uni721B-CN,Hanyo-Denshi,IVS,
爨,7228,29224,E0103,25731,uni7228uE0103-JP,uni7228-CN,Hanyo-Denshi,IVS,
爭,722D,29229,E01EA,25743,uni722D-M,uni722D-CN,PUA,M,
爵,7235,29237,E01EA,25755,uni7235-M,uni7235-CN,PUA,IVS,
牀,7240,29248,E0102,25770,uni7240uE0102-JP,uni723F-CN,Hanyo-Denshi,IVS,
牆,7246,29254,E0102,25778,uni7246uE0102-JP,uni7245-CN,Hanyo-Denshi,IVS,
片,7247,29255,E0102,25781,uni7247uE0102-JP,uni7247-TW,Hanyo-Denshi,IVS,
牖,7256,29270,E01EA,25814,uni7256-CM,uni7256-TW,PUA,CM,
牗,7257,29271,E0102,25817,uni7257uE0102-JP,uni7257-CN,Hanyo-Denshi,IVS,
犟,729F,29343,E01EA,25931,uni729F-CL,uni729F-CN,PUA,"CL,CM",
犟,729F,29343,E01EB,25932,uni729-V-CL,uni729F-HK,PUA,M,
狊,72CA,29386,E0100,25995,uni72CAuE0100-JP,uni72CA-TW,Moji-Joho,IVS,
狐,72D0,29392,E0102,26003,uni72D0uE0102-JP,uni72D0-CN,Hanyo-Denshi,IVS,
狐,72D0,29392,E0103,26004,uni72D0uE0103-JP,uni72D0-TW,Hanyo-Denshi,IVS,
狞,72DE,29406,/,26025,uni72DE-CN,uni72DE-CN,/,All,
狱,72F1,29425,/,26048,uni72F1-CN,uni72F1-CN,/,All,
狻,72FB,29435,E0102,26064,uni72FBuE0102-JP,uni72FB-CN,Hanyo-Denshi,IVS,
猙,7319,29465,E01EA,26113,uni7319-M,uni7319-CN,PUA,M,
獐,7350,29520,E0102,26217,uni7350uE0102-JP,uni7350-CN,Hanyo-Denshi,IVS,
獰,7370,29552,E0102,26269,uni7370uE0102-JP,uni7370-CN,Hanyo-Denshi,IVS,
獲,7372,29554,E0102,26273,uni7372uE0102-JP,uni7372-CN,Hanyo-Denshi,IVS,
獷,7377,29559,E01EA,26285,uni7377-CM,uni7377-CN,PUA,CM,
獺,737A,29562,E0102,26291,uni737A-CM,uni737A-CN,Hanyo-Denshi,CM,
玈,7388,29576,E0101,26320,uni7388uE0101-JP,uni7388-CN,Hanyo-Denshi,IVS,
玛,739B,29595,/,26341,uni739B-CN,uni739B-CN,/,All,
玲,73B2,29618,E0102,26377,uni73B2uE0102-JP,uni73B2-CN,Hanyo-Denshi,IVS,
珐,73D0,29648,/,26415,uni73D0-CL,uni73D0-CN,/,All,
珹,73F9,29689,E0102,26472,uni73F9uE0102-JP,uni73F9-CN,Hanyo-Denshi,M,
琊,740A,29706,E0102,26501,uni740AuE0102-JP,uni740A-CN,Hanyo-Denshi,All,
琢,7422,29730,E0103,26532,uni7422uE0103-JP,uni7422-CN,Hanyo-Denshi,IVS,
琢,7422,29730,E0104,26533,uni7422uE0104-JP,uni7422-TW,Hanyo-Denshi,IVS,
琼,743C,29756,/,26587,uni743C-CN,uni743C-CN,/,All,
瑛,745B,29787,E0102,26635,uni745BuE0102-JP,uni745B-TW,Hanyo-Denshi,IVS,
瑜,745C,29788,E0102,26637,uni745C-M,uni745C-CN,Hanyo-Denshi,M,
瑜,745C,29788,E01EA,26638,uni745C-CM,uni745C-TW,PUA,CM,
瑤,7464,29796,E01EA,26651,uni7464-CL,uni7464-CN,PUA,All,
瑫,746B,29803,E01EA,26666,uni746B-M,uni746B-CN,PUA,M,
瑯,746F,29807,E0102,26673,uni746F-M,uni746F-CN,Hanyo-Denshi,"M,CM",
瑱,7471,29809,E0102,26679,uni7471-M,uni7471-HK,Hanyo-Denshi,M,
瑶,7476,29814,E0102,26689,uni7476-CM,uni7476-CN,Hanyo-Denshi,All,
璋,748B,29835,E0102,26726,uni748BuE0102-JP,uni748B-CN,Hanyo-Denshi,IVS,
璣,74A3,29859,E0102,26768,uni74A3uE0102-JP,uni74A3-CN,Hanyo-Denshi,IVS,
璣,74A3,29859,E0103,26769,uni74A3uE0103-JP,uni74A3-TW,Hanyo-Denshi,IVS,
璩,74A9,29865,E0102,26781,uni74A9uE0102-JP,uni74A9-CN,Hanyo-Denshi,IVS,
瓏,74CF,29903,E0102,26851,uni74CFuE0102-JP,uni74CF-CN,Hanyo-Denshi,IVS,
瓜,74DC,29916,E0104,26877,uni74DCuE0104-JP,uni74DC-CN,Hanyo-Denshi,IVS,
瓠,74E0,29920,E0104,26888,uni74E0uE0104-JP,uni74E0-CN,Hanyo-Denshi,IVS,
瓢,74E2,29922,E0102,26893,uni74E2uE0102-JP,uni74E2-CN,Hanyo-Denshi,IVS,
瓣,74E3,29923,E0102,26897,uni74E3uE0102-JP,uni74E3-CN,Hanyo-Denshi,IVS,
瓣,74E3,29923,E0103,26898,uni74E3uE0103-JP,uni74E3-TW,Hanyo-Denshi,IVS,
瓤,74E4,29924,E0102,26900,uni74E4uE0102-JP,uni74E4-CN,Moji-Joho,IVS,
瓤,74E4,29924,E01EA,26901,uni74E4-CM,uni74E4-TW,PUA,CM,
甄,7504,29956,E0104,26978,uni7504uE0104-JP,uni7504-CN,Moji-Joho,IVS,
甌,750C,29964,E0103,26995,uni750CuE0103-JP,uni750C-CN,Hanyo-Denshi,IVS,
甍,750D,29965,E0103,26998,uni750DuE0103-JP,uni750D-CN,Hanyo-Denshi,IVS,
甍,750D,29965,E0104,26999,uni750DuE0104-JP,uni750D-TW,Hanyo-Denshi,IVS,
甍,750D,29965,E01EA,26996,uni750D-CL,uni750C-TW,PUA,All,
甕,7515,29973,E0104,27021,uni7515uE0104-JP,uni7515-CN,Hanyo-Denshi,IVS,
画,753B,30011,E0102,27079,uni753B-CL,uni753B-CN,Hanyo-Denshi,"CL,M",
異,7570,30064,E0102,27165,uni7570uE0102-JP,uni756F-TW,Hanyo-Denshi,IVS,
異,7570,30064,E0103,27166,uni7570uE0103-JP,uni756F-HK,Hanyo-Denshi,IVS,
疏,758F,30095,E0102,27211,uni758FuE0102-JP,uni758F-CN,Hanyo-Denshi,IVS,
疖,7596,30102,/,27225,uni7596-CN,uni7596-CN,/,All,
疗,7597,30103,/,27226,uni7597-CN,uni7597-CN,/,All,
疟,759F,30111,/,27239,uni759F-CN,uni759F-CN,/,All,
疠,75A0,30112,/,27240,uni75A0-CM,uni75A0-CN,/,All,
疡,75A1,30113,/,27241,uni75A1-CN,uni75A1-CN,/,All,
疫,75AB,30123,E0102,27259,uni75ABuE0102-JP,uni75AB-CN,Hanyo-Denshi,IVS,
疮,75AE,30126,/,27262,uni75AE-CN,uni75AE-CN,/,All,
疯,75AF,30127,/,27263,uni75AF-CN,uni75AF-CN,/,All,
疱,75B1,30129,E0102,27267,uni75B1uE0102-JP,uni75B1-CN,Hanyo-Denshi,IVS,
痈,75C8,30152,/,27312,uni75C8-CN,uni75C8-CN,/,All,
痉,75C9,30153,/,27314,uni75C9-CN,uni75C9-CN,/,All,
痊,75CA,30154,E0102,27316,uni75CA-CM,uni75CA-CN,Hanyo-Denshi,CM,
痜,75DC,30172,E0102,27352,uni75DCuE0102-JP,uni75DC-CN,Hanyo-Denshi,All,
痟,75DF,30175,E01EA,27361,uni75DF-M,uni75DF-CN,PUA,M,
痨,75E8,30184,/,27381,uni75E8-CM,uni75E8-CN,/,All,
痪,75EA,30186,/,27384,uni75EA-CN,uni75EA-CN,/,All,
痱,75F1,30193,E01EA,27398,uni75F1-CM,uni75F1-TW,PUA,CM,
瘀,7600,30208,E0102,27426,uni7600-CL,uni7600-CN,Hanyo-Denshi,All,
瘉,7609,30217,E0102,27445,uni7609uE0102-JP,uni7609-CN,Hanyo-Denshi,M,
瘟,761F,30239,E0102,27493,uni761F-CM,uni761F-CN,Hanyo-Denshi,CM,
瘧,7627,30247,E0102,27517,uni7627uE0102-JP,uni7627-CN,Hanyo-Denshi,IVS,
瘨,7628,30248,E01EA,27520,uni7628-M,uni7628-CN,PUA,M,
瘩,7629,30249,E0102,27523,uni7629uE0102-JP,uni7629-CN,Hanyo-Denshi,IVS,
瘪,762A,30250,/,27525,uni762A-CN,uni762A-CN,/,All,
瘫,762B,30251,/,27526,uni762B-CN,uni762B-CN,/,All,
瘴,7634,30260,E0102,27545,uni7634uE0102-JP,uni7634-CN,Hanyo-Denshi,IVS,
瘾,763E,30270,E01EA,27665,uni763E-CM,uni766E-CN,PUA,"CL,CM",
瘾,763E,30270,E01EB,27565,uni763E-CN,uni763E-CN,PUA,M,
癇,7647,30279,E0102,27584,uni7647uE0102-JP,uni7647-CN,Hanyo-Denshi,IVS,
癒,7652,30290,E0103,27605,uni7652uE0103-JP,uni7652-CN,Hanyo-Denshi,IVS,
癒,7652,30290,E01EA,27606,uni7652-CM,uni7652-TW,PUA,CM,
癘,7658,30296,E0102,27617,uni7658uE0102-JP,uni7658-CN,Hanyo-Denshi,IVS,
癢,7662,30306,E0102,27638,uni7662-CM,uni7662-CN,Hanyo-Denshi,CM,
癣,7663,30307,/,27640,uni7663-CN,uni7663-CN,/,All,
癥,7665,30309,E0102,27645,uni7665uE0102-JP,uni7665-CN,Hanyo-Denshi,IVS,
癫,766B,30315,E01EA,27675,uni766B-CL-CN,uni7672-HK,PUA,CL,
癫,766B,30315,E01EB,27658,uni766B-CN,uni766B-CN,PUA,"M,CM",
癱,7671,30321,E0102,27672,uni7671uE0102-JP,uni7671-CN,Hanyo-Denshi,IVS,
癲,7672,30322,E0104,27674,uni7672-M,uni7672-CN,Hanyo-Denshi,"M,CM",
皂,7682,30338,E0102,27697,uni7682uE0102-JP,uni7682-TW,Moji-Joho,IVS,
皰,76B0,30384,E0102,27775,uni76B0uE0102-JP,uni76B4-TW,Hanyo-Denshi,IVS,
皴,76B4,30388,E0101,27774,uni76B4-CM,uni76B4-CN,Moji-Joho,All,
监,76D1,30417,/,27818,uni76D1-CN,uni76D1-CN,/,All,
盘,76D8,30424,/,27828,uni76D8-CN,uni76D8-CN,/,All,
直,76F4,30452,E0103,27869,uni76F4uE0103-JP,uni76F2-CN,Hanyo-Denshi,IVS,
直,76F4,30452,E0105,27870,uni76F4uE0105-JP,uni76F2-TW,Hanyo-Denshi,IVS,
直,76F4,30452,E0106,27875,uni76F4uE0106-JP,uni76F4-HK,Hanyo-Denshi,IVS,
眹,7739,30521,E0102,27976,uni7739-M,uni7739-CN,Hanyo-Denshi,M,
眾,773E,30526,E0102,27981,uni773EuE0102-JP,uni773C-CN,Hanyo-Denshi,IVS,
眾,773E,30526,E0103,27983,uni773DuE0103-JP,uni773D-CN,Hanyo-Denshi,"CL,CM",
睜,775C,30556,E01EA,28033,uni775C-M,uni775C-CN,PUA,M,
