標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
内,内,5185,20869,E0101,10946,uni5185-CN,Hanyo-Denshi,,
冉,冉,5189,20873,E0102,10951,uni5189-CN,Hanyo-Denshi,,
冉,冉,5189,20873,E0103,62105,uni5189uE0101-JP,Hanyo-Denshi,,
再,再,518D,20877,E0102,10955,uni518D-CN,Hanyo-Denshi,,
再,再,518D,20877,E0103,61807,u2F815-JP,Hanyo-Denshi,,
冎,冎,518E,20878,E0101,10956,uni518E-JP,Hanyo-Denshi,,
冒,冒,5192,20882,E0102,10964,uni5192-JP,Hanyo-Denshi,,
冓,冓,5193,20883,E0102,10966,uni5193-JP,Hanyo-Denshi,,
冕,冕,5195,20885,E0103,10969,uni5195-CN,Hanyo-Denshi,,
冕,冕,5195,20885,E0105,61832,u2F8D3-JP,Hanyo-Denshi,,
冕,冕,5195,20885,E0106,62108,uni5195uE0102-JP,Hanyo-Denshi,,
冗,冗,5197,20887,E0101,10971,uni5197-CN,Hanyo-Denshi,,
冘,冘,5198,20888,E0101,10972,uni5198-JP,Hanyo-Denshi,,
冝,冝,519D,20893,E0101,10978,uni519D-JP,Hanyo-Denshi,,
冡,冡,51A1,20897,E0101,10983,uni51A1-JP,Hanyo-Denshi,,
冢,冢,51A2,20898,E0101,10985,uni51A2-JP,Hanyo-Denshi,,
冤,冤,51A4,20900,E0102,61900,uni51A4-JP90-JP,Hanyo-Denshi,,
冤,冤,51A4,20900,E0103,10989,uni51A4-JP,Hanyo-Denshi,,
冥,冥,51A5,20901,E0101,10990,uni51A5-JP,Hanyo-Denshi,,
冪,冪,51AA,20906,E0101,10996,uni51AA-JP,Hanyo-Denshi,,
冬,冬,51AC,20908,E0102,10999,uni51AC-JP,Hanyo-Denshi,,
冬,冬,51AC,20908,E0103,61808,u2F81A-JP,Hanyo-Denshi,,
冴,冴,51B4,20916,E0103,11010,uni51B4-JP,Hanyo-Denshi,,
冴,冴,51B4,20916,E0104,62110,uni51B4uE0102-JP,Hanyo-Denshi,,
冴,冴,51B4,20916,E0106,62109,uni51B4uE0101-JP,Moji-Joho,,
况,况,51B5,20917,E0101,11013,uni51B5-JP,Hanyo-Denshi,,
凊,凊,51CA,20938,E0101,11048,uni51CA-JP,Hanyo-Denshi,,
凋,凋,51CB,20939,E0102,11051,uni51CB-JP,Hanyo-Denshi,,
凋,凋,51CB,20939,E0103,62111,uni51CBuE0101-JP,Hanyo-Denshi,,
凌,凌,51CC,20940,E0101,11054,uni51CC-JP,Hanyo-Denshi,,
凛,凛,51DB,20955,E0102,11080,uni51DB-JP,Hanyo-Denshi,,
凞,凞,51DE,20958,E0107,11087,uni51DE-JP,Hanyo-Denshi,,
凞,凞,51DE,20958,E010A,58880,uniFA15-JP,Moji-Joho,,
凞,凞,51DE,20958,E0105,62113,uni51DEuE0102-JP,Hanyo-Denshi,,
凞,凞,51DE,20958,E0109,62115,uni51DEuE0104-JP,Hanyo-Denshi,,
凢,凢,51E2,20962,E0101,11094,uni51E2-JP,Hanyo-Denshi,,
凶,凶,51F6,20982,E0101,11117,uni51F6-JP,Hanyo-Denshi,,
函,函,51FD,20989,E0102,11128,uni51FD-JP,Hanyo-Denshi,,
函,函,51FD,20989,E0103,62117,uni51FDuE0101-JP,Hanyo-Denshi,,
凾,凾,51FE,20990,E0101,11131,uni51FE-JP,Hanyo-Denshi,,
刃,刃,5203,20995,E0102,11138,uni5203-JP,Hanyo-Denshi,,
刃,刃,5203,20995,E0103,62118,uni5203uE0101-JP,Hanyo-Denshi,,
刄,刄,5204,20996,E0101,11140,uni5204-JP,Moji-Joho,,
分,分,5206,20998,E0102,11142,uni5206-JP,Hanyo-Denshi,,
分,分,5206,20998,E0103,62119,uni5206uE0101-JP,Hanyo-Denshi,,
切,切,5207,20999,E0101,11145,uni5207-JP,Hanyo-Denshi,,
刋,刋,520B,21003,E0101,11150,uni520B-JP,Hanyo-Denshi,,
判,判,5224,21028,E0102,11181,uni5224-JP,Hanyo-Denshi,,
判,判,5224,21028,E0104,62120,uni5224uE0101-JP,Hanyo-Denshi,,
別,別,5225,21029,E0101,11183,uni5225-JP,Hanyo-Denshi,,
券,券,5238,21048,E0102,11208,uni5238-JP,Hanyo-Denshi,,
券,券,5238,21048,E0103,62121,uni5238uE0101-JP,Hanyo-Denshi,,
刻,刻,523B,21051,E0101,11213,uni523B-JP,Hanyo-Denshi,,
削,削,524A,21066,E0102,11233,uni524A-CN,Hanyo-Denshi,,
削,削,524A,21066,E0103,62122,uni524AuE0101-JP,Hanyo-Denshi,,
前,前,524D,21069,E0102,11237,uni524D-CN,Hanyo-Denshi,,
前,前,524D,21069,E0103,62123,uni524DuE0101-JP,Hanyo-Denshi,,
剏,剏,524F,21071,E0101,11240,uni524F-JP,Moji-Joho,,
剏,剏,524F,21071,E0102,11240,uni524F-JP,Moji-Joho,,
剪,剪,526A,21098,E0101,11283,uni526A-JP,Hanyo-Denshi,,
割,割,5272,21106,E0104,62126,uni5272uE0102-JP,Hanyo-Denshi,,
割,割,5272,21106,E0105,61809,u2F822-JP,Hanyo-Denshi,,
創,創,5275,21109,E0102,11304,uni5275-JP,Hanyo-Denshi,,
創,創,5275,21109,E0103,62127,uni5275uE0101-JP,Hanyo-Denshi,,
剿,剿,527F,21119,E0101,11323,uni527F-CN,Hanyo-Denshi,,
劃,劃,5283,21123,E0101,11329,uni5283-JP,Hanyo-Denshi,,
劉,劉,5289,21129,E0101,11340,uni5289-JP,Hanyo-Denshi,,
劍,劍,528D,21133,E0102,11348,uni528D-JP,Hanyo-Denshi,,
劑,劑,5291,21137,E0101,11354,uni5291-JP,Hanyo-Denshi,,
劒,劒,5292,21138,E0101,11357,uni5292-JP,Hanyo-Denshi,,
劔,劔,5294,21140,E0101,11359,uni5294-JP,Hanyo-Denshi,,
劘,劘,5298,21144,E0101,11369,uni5298-JP,Hanyo-Denshi,,
助,助,52A9,21161,E0101,11394,uni52A9-CN,Hanyo-Denshi,,
劵,劵,52B5,21173,E0101,11409,uni52B5-JP,Hanyo-Denshi,,
劾,劾,52BE,21182,E0101,11423,uni52BE-JP,Hanyo-Denshi,,
勁,勁,52C1,21185,E0101,11428,uni52C1-JP,Hanyo-Denshi,,
勃,勃,52C3,21187,E0101,11431,uni52C3-JP,Hanyo-Denshi,,
勇,勇,52C7,21191,E0102,11437,uni52C7-JP,Hanyo-Denshi,,
勉,勉,52C9,21193,E0102,11440,uni52C9-JP,Hanyo-Denshi,,
勉,勉,52C9,21193,E0103,58915,uniFA33-JP,Hanyo-Denshi,,
勒,勒,52D2,21202,E0101,11454,uni52D2-CN,Hanyo-Denshi,,
勖,勖,52D6,21206,E0101,11459,uni52D6-CN,Hanyo-Denshi,,
勗,勗,52D7,21207,E0102,11460,uni52D7-JP,Hanyo-Denshi,,
勗,勗,52D7,21207,E0103,62130,uni52D7uE0101-JP,Hanyo-Denshi,,
勘,勘,52D8,21208,E0101,11462,uni52D8-JP,Hanyo-Denshi,,
勛,勛,52DB,21211,E0101,11468,uni52DB-JP,Hanyo-Denshi,,
勝,勝,52DD,21213,E0102,11471,uni52DD-JP,Hanyo-Denshi,,
勝,勝,52DD,21213,E0103,62131,uni52DDuE0101-JP,Hanyo-Denshi,,
